,stfips,stabbr,stname
0,1,AL,Alabama
1,2,AK,Alaska
2,4,AZ,Arizona
3,5,AR,Arkansas
4,6,CA,California
5,8,CO,Colorado
6,9,CT,Connecticut
7,10,DE,Delaware
8,11,DC,District of Columbia
9,12,FL,Florida
10,13,GA,Georgia
11,15,HI,Hawaii
12,16,ID,Idaho
13,17,IL,Illinois
14,18,IN,Indiana
15,19,IA,Iowa
16,20,KS,Kansas
17,21,KY,Kentucky
18,22,LA,Louisiana
19,23,ME,Maine
20,24,MD,Maryland
21,25,MA,Massachusetts
22,26,MI,Michigan
23,27,MN,Minnesota
24,28,MS,Mississippi
25,29,MO,Missouri
26,30,MT,Montana
27,31,NE,Nebraska
28,32,NV,Nevada
29,33,NH,New Hampshire
30,34,NJ,New Jersey
31,35,NM,New Mexico
32,36,NY,New York
33,37,NC,North Carolina
34,38,ND,North Dakota
35,39,OH,Ohio
36,40,OK,Oklahoma
37,41,OR,Oregon
38,42,PA,Pennsylvania
39,44,RI,Rhode Island
40,45,SC,South Carolina
41,46,SD,South Dakota
42,47,TN,Tennessee
43,48,TX,Texas
44,49,UT,Utah
45,50,VT,Vermont
46,51,VA,Virginia
47,53,WA,Washington
48,54,WV,West Virginia
49,55,WI,Wisconsin
50,56,WY,Wyoming
51,60,AS,American Samoa
52,66,GU,Guam
53,69,MP,Northern Mariana Islands
54,72,PR,Puerto Rico
55,74,UM,U.S. Minor Outlying Islands
56,78,VI,U.S. Virgin Islands
